日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-05,603667,42.06,44.29,45.98,41.7,223235,979607922.0,9.82,1.63,0.71,6.1
2025-11-06,603667,45.29,47.84,48.72,44.01,580904,2745568503.0,10.63,8.02,3.55,15.86
2025-11-07,603667,47.0,47.1,49.15,45.01,519400,2426171237.0,8.65,-1.55,-0.74,14.18
2025-11-10,603667,46.07,45.89,47.38,45.56,286769,1330335861.0,3.86,-2.57,-1.21,7.83
2025-11-11,603667,46.83,48.37,49.36,46.46,409490,1947722929.0,6.32,5.4,2.48,11.18
2025-11-12,603667,48.37,46.92,48.78,46.3,283581,1342039715.0,5.13,-3.0,-1.45,7.74
2025-11-13,603667,45.57,45.55,46.53,44.4,216287,982991228.0,4.54,-2.92,-1.37,5.91
2025-11-14,603667,44.51,43.42,45.17,43.41,182367,805616706.0,3.86,-4.68,-2.13,4.98
2025-11-17,603667,42.72,43.13,44.35,42.63,122745,533754771.0,3.96,-0.67,-0.29,3.35
2025-11-18,603667,42.78,43.7,43.91,42.0,152895,655417421.0,4.43,1.32,0.57,4.18
2025-11-19,603667,43.27,44.01,44.2,43.1,114217,501497379.0,2.52,0.71,0.31,3.12
2025-11-20,603667,44.05,41.9,44.35,41.55,130216,556949540.0,6.36,-4.79,-2.11,3.56
2025-11-21,603667,41.0,42.88,44.4,40.9,198175,847390997.0,8.35,2.34,0.98,5.41
2025-11-24,603667,42.6,43.57,44.0,41.54,147991,635168610.0,5.74,1.61,0.69,4.04
2025-11-25,603667,44.14,43.36,44.77,43.29,149214,657082940.0,3.4,-0.48,-0.21,4.07
2025-11-26,603667,42.08,43.74,44.35,42.08,150707,655390038.0,5.24,0.88,0.38,4.12
2025-11-27,603667,43.5,43.29,44.58,43.02,135348,592655505.0,3.57,-1.03,-0.45,3.7
2025-11-28,603667,42.8,44.91,45.42,42.53,224375,992212429.0,6.68,3.74,1.62,6.13
2025-12-01,603667,45.4,46.28,46.67,44.78,228632,1052157055.0,4.21,3.05,1.37,6.24
2025-12-02,603667,46.02,44.78,46.02,44.67,155574,704096230.0,2.92,-3.24,-1.5,4.25
2025-12-03,603667,45.29,46.22,47.5,45.09,252388,1162646333.0,5.38,3.22,1.44,6.89
2025-12-04,603667,49.0,45.9,49.96,45.89,387769,1844623562.0,8.81,-0.69,-0.32,10.59
2025-12-05,603667,45.08,49.06,50.49,44.65,486236,2329551181.0,12.72,6.88,3.16,13.28
2025-12-08,603667,48.6,53.97,53.97,47.81,614181,3165671050.0,12.56,10.01,4.91,16.77
2025-12-09,603667,53.9,53.52,57.57,53.47,694745,3819886818.0,7.6,-0.83,-0.45,18.97
2025-12-10,603667,53.03,53.46,54.72,52.8,436237,2342984861.0,3.59,-0.11,-0.06,11.91
2025-12-11,603667,53.5,54.62,55.8,53.21,439228,2397521223.0,4.84,2.17,1.16,11.99
2025-12-12,603667,53.55,50.98,53.93,50.8,488243,2533375468.0,5.73,-6.66,-3.64,13.33
2025-12-15,603667,50.12,49.11,51.29,49.11,292329,1458992054.0,4.28,-3.67,-1.87,7.98
2025-12-16,603667,49.12,47.72,49.49,47.6,185190,892365322.0,3.85,-2.83,-1.39,5.06
2025-12-17,603667,47.8,51.09,51.8,47.75,347193,1748036426.0,8.49,7.06,3.37,9.48
2025-12-18,603667,50.0,51.29,53.33,49.86,299824,1560155568.0,6.79,0.39,0.2,8.19
2025-12-19,603667,51.97,50.31,52.55,50.21,225324,1149248408.0,4.56,-1.91,-0.98,6.15
2025-12-22,603667,51.27,50.65,51.47,49.76,325188,1645124119.0,3.4,0.68,0.34,8.88
2025-12-23,603667,50.5,49.79,50.99,49.37,212147,1060504840.0,3.2,-1.7,-0.86,5.79
2025-12-24,603667,49.44,49.72,50.1,48.91,174897,869335854.0,2.39,-0.14,-0.07,4.78
2025-12-25,603667,49.91,52.95,53.65,49.91,428307,2219587113.0,7.52,6.5,3.23,11.7
2025-12-26,603667,52.3,52.58,53.88,51.81,348214,1828784969.0,3.91,-0.7,-0.37,9.51
2025-12-29,603667,52.79,57.84,57.84,52.45,478856,2679998151.0,10.25,10.0,5.26,13.08
2025-12-30,603667,58.2,63.62,63.62,57.89,411417,2538968363.0,9.91,9.99,5.78,11.23
2025-12-31,603667,69.98,69.98,69.98,67.38,368345,2570907340.0,4.09,10.0,6.36,10.06
2026-01-05,603667,69.0,74.2,76.98,68.01,1032214,7707446921.0,12.82,6.03,4.22,28.19
2026-01-06,603667,74.46,77.49,79.85,74.33,842852,6524001370.0,7.44,4.43,3.29,23.02
2026-01-07,603667,74.97,75.6,82.88,74.97,808760,6322340317.0,10.21,-2.44,-1.89,22.09
2026-01-08,603667,75.61,75.94,79.37,75.18,586698,4512138460.0,5.54,0.45,0.34,16.02
2026-01-09,603667,76.92,78.11,80.92,75.4,632519,4968813473.0,7.27,2.86,2.17,17.27
2026-01-12,603667,81.71,80.3,82.0,78.68,694017,5567621905.0,4.25,2.8,2.19,18.95
2026-01-13,603667,78.6,82.65,88.0,74.74,723379,5933312073.0,16.51,2.93,2.35,19.75
2026-01-14,603667,80.0,76.54,84.41,75.48,712776,5679629626.0,10.8,-7.39,-6.11,19.46
2026-01-15,603667,74.18,73.72,77.18,73.2,437730,3272297093.0,5.2,-3.68,-2.82,11.95
2026-01-16,603667,74.32,81.09,81.09,74.0,591552,4645941648.0,9.62,10.0,7.37,16.15
2026-01-19,603667,83.7,89.2,89.2,82.87,611951,5270506252.0,7.81,10.0,8.11,16.71
2026-01-20,603667,89.0,85.5,91.87,83.51,638301,5522751632.0,9.37,-4.15,-3.7,17.43
2026-01-21,603667,83.79,89.11,91.05,83.78,633526,5601237135.0,8.5,4.22,3.61,17.3
2026-01-22,603667,88.01,90.83,94.27,88.0,604087,5484940574.0,7.04,1.93,1.72,16.5
