concept_code,concept_name,stock_count,avg_rank,leader_code,leader_name,leader_rank,leader_gain_pct,median_code,median_name,median_rank,median_gain_pct,edge_code,edge_name,edge_rank,edge_gain_pct
885756.TI,芯片概念,117,191.55,000547.SZ,航天发展,10,307.88,688258.SH,卓易信息,178,101.22,300480.SZ,光力科技,202,95.44
886078.TI,商业航天,77,185.43,688031.SH,星环科技,4,381.69,002639.SZ,雪人集团,184,99.63,688239.SH,航宇科技,208,94.11
885517.TI,机器人概念,76,211.42,688125.SH,安达智能,2,428.14,600869.SH,远东股份,225,89.44,300480.SZ,光力科技,202,95.44
885700.TI,军工,75,194.43,000547.SZ,航天发展,10,307.88,002361.SZ,神剑股份,209,94.11,600391.SH,航发科技,206,94.48
885806.TI,华为概念,75,201.88,688031.SH,星环科技,4,381.69,002008.SZ,大族激光,194,96.95,300480.SZ,光力科技,202,95.44
885887.TI,数据中心,74,204.61,301308.SZ,江波龙,18,254.74,002350.SZ,北京科锐,205,94.93,002350.SZ,北京科锐,205,94.93
885921.TI,储能,73,211.16,603778.SH,国晟科技,6,341.9,300390.SZ,天华新能,203,95.2,300390.SZ,天华新能,203,95.2
885431.TI,新能源汽车,73,218.15,002931.SZ,锋龙股份,3,391.21,300842.SZ,帝科股份,231,88.54,300390.SZ,天华新能,203,95.2
885531.TI,光伏概念,71,221.72,603778.SH,国晟科技,6,341.9,600869.SH,远东股份,225,89.44,002350.SZ,北京科锐,205,94.93
886107.TI,2025年报预增,61,195.95,688308.SH,欧科亿,7,323.31,688258.SH,卓易信息,178,101.22,002440.SZ,闰土股份,201,95.51
885728.TI,人工智能,61,203.98,688031.SH,星环科技,4,381.69,300490.SZ,华自科技,233,88.15,600869.SH,远东股份,225,89.44
885710.TI,锂电池概念,60,207.4,603778.SH,国晟科技,6,341.9,002756.SZ,永兴材料,217,90.63,300390.SZ,天华新能,203,95.2
885641.TI,风电,59,202.42,301232.SZ,飞沃科技,5,371.69,002112.SZ,三变科技,195,96.94,002350.SZ,北京科锐,205,94.93
886086.TI,西部大开发,54,210.3,300164.SZ,通源石油,11,298.12,600869.SH,远东股份,225,89.44,600391.SH,航发科技,206,94.48
885311.TI,智能电网,53,206.74,601179.SH,中国西电,28,212.08,688676.SH,金盘科技,192,97.53,002350.SZ,北京科锐,205,94.93
885556.TI,5G,52,208.12,000547.SZ,航天发展,10,307.88,603186.SH,华正新材,258,84.43,300044.SZ,ST赛为,237,87.8
885426.TI,海工装备,47,183.45,000547.SZ,航天发展,10,307.88,301120.SZ,新特电气,145,115.47,688239.SH,航宇科技,208,94.11
885571.TI,核电,46,180.15,301232.SZ,飞沃科技,5,371.69,002639.SZ,雪人集团,184,99.63,688239.SH,航宇科技,208,94.11
885739.TI,股权转让(并购重组),46,185.0,002969.SZ,嘉美包装,1,567.14,300943.SZ,春晖智控,168,106.5,002361.SZ,神剑股份,209,94.11
885957.TI,东数西算(算力),45,195.24,000547.SZ,航天发展,10,307.88,300617.SZ,安靠智电,186,98.85,600869.SH,远东股份,225,89.44
885427.TI,高端装备,45,197.76,000657.SZ,中钨高新,21,236.83,300480.SZ,光力科技,202,95.44,300480.SZ,光力科技,202,95.44
886100.TI,DeepSeek概念,43,203.23,688031.SH,星环科技,4,381.69,600869.SH,远东股份,225,89.44,688239.SH,航宇科技,208,94.11
885564.TI,无人机,42,190.14,301232.SZ,飞沃科技,5,371.69,688191.SH,智洋创新,175,102.72,002361.SZ,神剑股份,209,94.11
885997.TI,比亚迪概念,42,212.19,688125.SH,安达智能,2,428.14,300606.SZ,金太阳,243,87.28,001208.SZ,华菱线缆,219,90.62
885574.TI,卫星导航,41,195.56,000547.SZ,航天发展,10,307.88,002565.SZ,顺灏股份,185,99.45,002361.SZ,神剑股份,209,94.11
886089.TI,回购增持再贷款概念,40,201.6,002969.SZ,嘉美包装,1,567.14,601872.SH,招商轮船,204,95.04,601872.SH,招商轮船,204,95.04
885552.TI,小金属概念,39,190.21,000510.SZ,新金路,17,257.62,603588.SH,高能环境,177,102.02,300390.SZ,天华新能,203,95.2
886042.TI,存储芯片,38,187.42,301308.SZ,江波龙,18,254.74,688361.SH,中科飞测,188,98.16,300390.SZ,天华新能,203,95.2
885783.TI,工业互联网,38,196.55,688031.SH,星环科技,4,381.69,300480.SZ,光力科技,202,95.44,300480.SZ,光力科技,202,95.44
885461.TI,充电桩,38,216.29,300903.SZ,科翔股份,29,211.0,600869.SH,远东股份,225,89.44,002350.SZ,北京科锐,205,94.93
885800.TI,消费电子概念,37,186.86,688125.SH,安达智能,2,428.14,301086.SZ,鸿富瀚,169,105.94,688372.SH,伟测科技,211,93.66
885425.TI,特高压,35,174.86,601179.SH,中国西电,28,212.08,002169.SZ,智光电气,162,108.4,002350.SZ,北京科锐,205,94.93
886067.TI,低空经济,35,183.23,301232.SZ,飞沃科技,5,371.69,688433.SH,华曙高科,196,96.82,688239.SH,航宇科技,208,94.11
886033.TI,共封装光学(CPO),34,171.15,002796.SZ,世嘉科技,12,291.36,300857.SZ,协创数据,140,119.24,688516.SH,奥特维,264,83.57
885823.TI,氢能源,34,215.79,301005.SZ,超捷股份,20,243.66,300816.SZ,艾可蓝,218,90.62,002350.SZ,北京科锐,205,94.93
885743.TI,军民融合,33,204.7,000547.SZ,航天发展,10,307.88,002361.SZ,神剑股份,209,94.11,002361.SZ,神剑股份,209,94.11
885521.TI,粤港澳大湾区,32,200.47,688525.SH,佰维存储,27,216.69,000973.SZ,佛塑科技,220,90.54,000973.SZ,佛塑科技,220,90.54
885413.TI,创投,32,206.62,301005.SZ,超捷股份,20,243.66,000609.SZ,ST中迪,187,98.48,300448.SZ,浩云科技,252,85.59
885545.TI,汽车电子,30,183.87,688125.SH,安达智能,2,428.14,601231.SH,环旭电子,163,107.63,002703.SZ,浙江世宝,230,88.68
885936.TI,绿色电力,30,202.73,001203.SZ,大中矿业,30,210.75,002270.SZ,华明装备,199,96.51,002350.SZ,北京科锐,205,94.93
886032.TI,固态电池,30,211.13,603778.SH,国晟科技,6,341.9,000973.SZ,佛塑科技,220,90.54,300390.SZ,天华新能,203,95.2
885789.TI,宁德时代概念,30,222.07,688125.SH,安达智能,2,428.14,000973.SZ,佛塑科技,220,90.54,300390.SZ,天华新能,203,95.2
885939.TI,海峡两岸,29,158.03,002969.SZ,嘉美包装,1,567.14,600550.SH,保变电气,125,127.0,601872.SH,招商轮船,204,95.04
885572.TI,水利,29,211.79,601179.SH,中国西电,28,212.08,001208.SZ,华菱线缆,219,90.62,601611.SH,中国核建,214,92.73
885976.TI,数字经济,29,211.9,000547.SZ,航天发展,10,307.88,300490.SZ,华自科技,233,88.15,301550.SZ,斯菱智驱,216,90.79
885705.TI,乡村振兴,27,211.67,000547.SZ,航天发展,10,307.88,000833.SZ,粤桂股份,245,86.56,300044.SZ,ST赛为,237,87.8
885312.TI,物联网,26,210.31,605178.SH,时空科技,42,187.49,002008.SZ,大族激光,194,96.95,300480.SZ,光力科技,202,95.44
885919.TI,碳中和,26,219.0,300164.SZ,通源石油,11,298.12,300490.SZ,华自科技,233,88.15,300490.SZ,华自科技,233,88.15
885736.TI,无人驾驶,26,222.58,002413.SZ,雷科防务,38,194.92,000338.SZ,潍柴动力,244,86.69,002703.SZ,浙江世宝,230,88.68
886099.TI,AI智能体,25,243.12,688031.SH,星环科技,4,381.69,300017.SZ,网宿科技,265,83.42,688158.SH,优刻得,240,87.44
885959.TI,PCB概念,24,194.38,688308.SH,欧科亿,7,323.31,300606.SZ,金太阳,243,87.28,300606.SZ,金太阳,243,87.28
886065.TI,可控核聚变,23,151.39,000657.SZ,中钨高新,21,236.83,600550.SH,保变电气,125,127.0,601611.SH,中国核建,214,92.73
885908.TI,第三代半导体,23,196.96,301338.SZ,凯格精机,35,199.29,002008.SZ,大族激光,194,96.95,300480.SZ,光力科技,202,95.44
886041.TI,数据要素,23,224.13,688031.SH,星环科技,4,381.69,300448.SZ,浩云科技,252,85.59,300490.SZ,华自科技,233,88.15
885785.TI,小米概念,22,164.55,301308.SZ,江波龙,18,254.74,002885.SZ,京泉华,155,111.59,301045.SZ,天禄科技,207,94.46
885539.TI,医疗器械概念,22,186.32,002796.SZ,世嘉科技,12,291.36,601231.SH,环旭电子,163,107.63,300390.SZ,天华新能,203,95.2
885514.TI,京津冀一体化,22,216.32,601126.SH,四方股份,31,207.16,600722.SH,金牛化工,234,87.93,002350.SZ,北京科锐,205,94.93
885611.TI,阿里巴巴概念,22,226.77,688525.SH,佰维存储,27,216.69,000981.SZ,山子高科,259,83.95,002350.SZ,北京科锐,205,94.93
885378.TI,智慧城市,22,230.45,605289.SH,罗曼股份,33,205.5,300448.SZ,浩云科技,252,85.59,600869.SH,远东股份,225,89.44
885566.TI,大飞机,21,159.9,301232.SZ,飞沃科技,5,371.69,300900.SZ,广联航空,148,114.42,600391.SH,航发科技,206,94.48
886009.TI,先进封装,21,175.86,301308.SZ,江波龙,18,254.74,688361.SH,中科飞测,188,98.16,300480.SZ,光力科技,202,95.44
886084.TI,光纤概念,21,186.57,603618.SH,杭电股份,45,181.69,600498.SH,烽火通信,147,114.61,600869.SH,远东股份,225,89.44
885973.TI,金属铜,21,186.81,000510.SZ,新金路,17,257.62,603588.SH,高能环境,177,102.02,600301.SH,华锡有色,228,88.94
885430.TI,天然气,20,170.8,001331.SZ,胜通能源,8,322.0,000593.SZ,德龙汇能,150,113.7,601872.SH,招商轮船,204,95.04
885412.TI,污水处理,20,174.55,001267.SZ,汇绿生态,56,166.22,603588.SH,高能环境,177,102.02,002361.SZ,神剑股份,209,94.11
886037.TI,6G概念,20,175.6,002796.SZ,世嘉科技,12,291.36,600498.SH,烽火通信,147,114.61,603186.SH,华正新材,258,84.43
886069.TI,人形机器人,20,198.85,688125.SH,安达智能,2,428.14,001208.SZ,华菱线缆,219,90.62,301550.SZ,斯菱智驱,216,90.79
885884.TI,航空发动机,19,153.11,301232.SZ,飞沃科技,5,371.69,300900.SZ,广联航空,148,114.42,600391.SH,航发科技,206,94.48
886002.TI,机器视觉,19,187.32,688125.SH,安达智能,2,428.14,002008.SZ,大族激光,194,96.95,300490.SZ,华自科技,233,88.15
884088.TI,输变电设备,19,202.84,601179.SH,中国西电,28,212.08,688676.SH,金盘科技,192,97.53,002350.SZ,北京科锐,205,94.93
885964.TI,俄乌冲突概念,19,203.63,300164.SZ,通源石油,11,298.12,000933.SZ,神火股份,212,93.59,601872.SH,招商轮船,204,95.04
885402.TI,智能医疗,19,265.32,300300.SZ,海峡创新,58,164.08,300520.SZ,科大国创,291,80.53,300816.SZ,艾可蓝,218,90.62
885930.TI,工业母机,18,160.72,688125.SH,安达智能,2,428.14,002008.SZ,大族激光,194,96.95,300480.SZ,光力科技,202,95.44
885478.TI,智能家居,18,197.22,300749.SZ,顶固集创,13,290.62,605318.SH,法狮龙,156,111.35,000988.SZ,华工科技,268,83.22
885948.TI,柔性直流输电,17,168.94,601179.SH,中国西电,28,212.08,603530.SH,神马电力,136,121.03,600869.SH,远东股份,225,89.44
885738.TI,OLED,17,171.94,603929.SH,亚翔集成,22,234.96,688593.SH,新相微,158,111.33,000973.SZ,佛塑科技,220,90.54
886044.TI,液冷服务器,17,184.0,605289.SH,罗曼股份,33,205.5,002639.SZ,雪人集团,184,99.63,600869.SH,远东股份,225,89.44
886108.TI,AI应用,17,208.18,688031.SH,星环科技,4,381.69,300448.SZ,浩云科技,252,85.59,300448.SZ,浩云科技,252,85.59
885537.TI,3D打印,17,216.82,688102.SH,斯瑞新材,55,166.77,002361.SZ,神剑股份,209,94.11,002361.SZ,神剑股份,209,94.11
885775.TI,燃料电池,17,237.94,002498.SZ,汉缆股份,49,175.9,000338.SZ,潍柴动力,244,86.69,002350.SZ,北京科锐,205,94.93
885935.TI,抽水蓄能,16,148.06,601126.SH,四方股份,31,207.16,000533.SZ,顺钠股份,131,122.12,002342.SZ,巨力索具,287,81.1
885376.TI,苹果概念,16,181.69,688125.SH,安达智能,2,428.14,300567.SZ,精测电子,181,100.1,300201.SZ,海伦哲,239,87.74
886057.TI,新型工业化,16,199.69,688125.SH,安达智能,2,428.14,300044.SZ,ST赛为,237,87.8,300490.SZ,华自科技,233,88.15
885530.TI,黄金概念,16,211.81,300139.SZ,晓程科技,51,170.57,603588.SH,高能环境,177,102.02,000506.SZ,招金黄金,262,83.77
885459.TI,网络安全,16,229.94,000547.SZ,航天发展,10,307.88,301218.SZ,华是科技,274,82.72,301248.SZ,杰创智能,261,83.83
885362.TI,云计算,16,250.44,603629.SH,利通电子,75,150.28,301248.SZ,杰创智能,261,83.83,300816.SZ,艾可蓝,218,90.62
885946.TI,传感器,16,261.75,600879.SH,航天电子,64,157.25,300912.SZ,凯龙高科,315,76.75,300480.SZ,光力科技,202,95.44
885709.TI,虚拟现实,15,167.53,000547.SZ,航天发展,10,307.88,002047.SZ,*ST宝鹰,153,112.35,300490.SZ,华自科技,233,88.15
886004.TI,虚拟电厂,15,172.33,603778.SH,国晟科技,6,341.9,002546.SZ,新联电子,182,99.83,002350.SZ,北京科锐,205,94.93
885875.TI,MiniLED,15,192.6,300903.SZ,科翔股份,29,211.0,300490.SZ,华自科技,233,88.15,300490.SZ,华自科技,233,88.15
886013.TI,信创,15,210.27,688031.SH,星环科技,4,381.69,301248.SZ,杰创智能,261,83.83,688158.SH,优刻得,240,87.44
886076.TI,军工信息化,15,215.13,000547.SZ,航天发展,10,307.88,300520.SZ,科大国创,291,80.53,688011.SH,新光光电,222,90.13
885662.TI,车联网(车路协同),15,261.07,002413.SZ,雷科防务,38,194.92,300520.SZ,科大国创,291,80.53,300044.SZ,ST赛为,237,87.8
885991.TI,新型城镇化,14,192.21,603778.SH,国晟科技,6,341.9,301148.SZ,嘉戎技术,210,93.92,301148.SZ,嘉戎技术,210,93.92
885730.TI,量子科技,14,209.43,601179.SH,中国西电,28,212.08,000988.SZ,华工科技,268,83.22,000988.SZ,华工科技,268,83.22
885690.TI,PPP概念,14,211.36,603778.SH,国晟科技,6,341.9,300055.SZ,万邦达,235,87.93,601611.SH,中国核建,214,92.73
886006.TI,钙钛矿电池,14,233.36,603778.SH,国晟科技,6,341.9,688530.SH,欧莱新材,253,85.52,002865.SZ,钧达股份,224,89.71
885744.TI,雄安新区,14,238.5,300986.SZ,志特新材,122,128.02,603097.SH,江苏华辰,266,83.39,002350.SZ,北京科锐,205,94.93
885423.TI,安防,14,271.0,000547.SZ,航天发展,10,307.88,002519.SZ,银河电子,293,80.48,300044.SZ,ST赛为,237,87.8
886085.TI,AI眼镜,13,130.62,301308.SZ,江波龙,18,254.74,002047.SZ,*ST宝鹰,153,112.35,000973.SZ,佛塑科技,220,90.54
885617.TI,福建自贸区,13,149.38,000547.SZ,航天发展,10,307.88,600549.SH,厦门钨业,119,129.1,301148.SZ,嘉戎技术,210,93.92
885454.TI,智能穿戴,13,159.77,301308.SZ,江波龙,18,254.74,002047.SZ,*ST宝鹰,153,112.35,688127.SH,蓝特光学,279,82.17
885970.TI,金属锌,13,160.15,001203.SZ,大中矿业,30,210.75,002667.SZ,威领股份,129,123.82,600301.SH,华锡有色,228,88.94
886105.TI,雅下水电概念,13,173.38,000657.SZ,中钨高新,21,236.83,002639.SZ,雪人集团,184,99.63,600869.SH,远东股份,225,89.44
885786.TI,富士康概念,13,173.92,603929.SH,亚翔集成,22,234.96,301086.SZ,鸿富瀚,169,105.94,300606.SZ,金太阳,243,87.28
885543.TI,家用电器,13,174.85,300749.SZ,顶固集创,13,290.62,300857.SZ,协创数据,140,119.24,000988.SZ,华工科技,268,83.22
885897.TI,中芯国际概念,13,179.62,603929.SH,亚翔集成,22,234.96,300666.SZ,江丰电子,171,105.33,300390.SZ,天华新能,203,95.2
885819.TI,电力物联网,13,186.92,601126.SH,四方股份,31,207.16,002546.SZ,新联电子,182,99.83,300201.SZ,海伦哲,239,87.74
886019.TI,AIGC概念,13,192.85,688031.SH,星环科技,4,381.69,301248.SZ,杰创智能,261,83.83,301248.SZ,杰创智能,261,83.83
885972.TI,金属回收,13,206.08,000657.SZ,中钨高新,21,236.83,002379.SZ,宏桥控股,249,85.84,002379.SZ,宏桥控股,249,85.84
885924.TI,共同富裕示范区,13,209.46,688109.SH,品茗科技,41,192.22,002082.SZ,万邦德,223,90.02,002082.SZ,万邦德,223,90.02
885345.TI,新疆振兴,13,212.77,300164.SZ,通源石油,11,298.12,920088.BJ,科力股份,144,116.77,001208.SZ,华菱线缆,219,90.62
885699.TI,ST板块,13,218.62,002713.SZ,*ST东易,36,197.47,300044.SZ,ST赛为,237,87.8,300044.SZ,ST赛为,237,87.8
885467.TI,特斯拉概念,13,221.38,301005.SZ,超捷股份,20,243.66,000988.SZ,华工科技,268,83.22,600869.SH,远东股份,225,89.44
886001.TI,高压快充,13,224.46,603353.SH,和顺石油,84,146.16,300490.SZ,华自科技,233,88.15,002350.SZ,北京科锐,205,94.93
885945.TI,汽车芯片,13,234.31,688525.SH,佰维存储,27,216.69,688691.SH,灿芯股份,303,78.67,688372.SH,伟测科技,211,93.66
884274.TI,IT服务Ⅲ,13,241.23,300300.SZ,海峡创新,58,164.08,300448.SZ,浩云科技,252,85.59,300044.SZ,ST赛为,237,87.8
885956.TI,智慧政务,13,261.54,000547.SZ,航天发展,10,307.88,603843.SH,*ST正平,290,80.67,688158.SH,优刻得,240,87.44
885562.TI,高铁,13,272.0,920046.BJ,亿能电力,115,130.6,300062.SZ,中能电气,306,78.36,002361.SZ,神剑股份,209,94.11
885832.TI,长三角一体化,12,128.25,603929.SH,亚翔集成,22,234.96,600487.SH,亨通光电,114,130.91,601611.SH,中国核建,214,92.73
885787.TI,独角兽概念,12,148.67,688031.SH,星环科技,4,381.69,000890.SZ,法尔胜,143,117.85,600869.SH,远东股份,225,89.44
885971.TI,金属铅,12,152.67,001203.SZ,大中矿业,30,210.75,002667.SZ,威领股份,129,123.82,600301.SH,华锡有色,228,88.94
885642.TI,跨境电商,12,176.0,603301.SH,振德医疗,40,192.49,002348.SZ,高乐股份,141,119.08,600108.SH,亚盛集团,317,76.3
885942.TI,数据安全,12,186.08,688031.SH,星环科技,4,381.69,688158.SH,优刻得,240,87.44,688158.SH,优刻得,240,87.44
884075.TI,金属制品,12,186.17,002931.SZ,锋龙股份,3,391.21,301137.SZ,哈焊华通,247,86.24,301137.SZ,哈焊华通,247,86.24
885928.TI,钠离子电池,12,190.83,300903.SZ,科翔股份,29,211.0,600869.SH,远东股份,225,89.44,600869.SH,远东股份,225,89.44
885980.TI,华为鲲鹏,12,202.5,688031.SH,星环科技,4,381.69,300448.SZ,浩云科技,252,85.59,300490.SZ,华自科技,233,88.15
885820.TI,数字孪生,12,202.92,601126.SH,四方股份,31,207.16,300490.SZ,华自科技,233,88.15,300490.SZ,华自科技,233,88.15
885893.TI,国家大基金持股,12,211.25,301308.SZ,江波龙,18,254.74,688361.SH,中科飞测,188,98.16,688702.SH,盛科通信,281,81.79
886050.TI,算力租赁,12,211.75,002713.SZ,*ST东易,36,197.47,688158.SH,优刻得,240,87.44,300816.SZ,艾可蓝,218,90.62
885779.TI,腾讯概念,12,218.58,300475.SZ,香农芯创,37,195.12,301248.SZ,杰创智能,261,83.83,301248.SZ,杰创智能,261,83.83
884287.TI,数字芯片设计,11,191.36,301308.SZ,江波龙,18,254.74,688593.SH,新相微,158,111.33,688702.SH,盛科通信,281,81.79
884089.TI,线缆部件及其他,11,192.55,603618.SH,杭电股份,45,181.69,605196.SH,华通线缆,215,91.9,605196.SH,华通线缆,215,91.9
885987.TI,MicroLED概念,11,199.09,300751.SZ,迈为股份,44,182.06,002008.SZ,大族激光,194,96.95,688530.SH,欧莱新材,253,85.52
884098.TI,消费电子零部件及组装,11,203.82,300136.SZ,信维通信,48,178.3,301086.SZ,鸿富瀚,169,105.94,301626.SZ,苏州天脉,232,88.36
885920.TI,光伏建筑一体化,11,212.91,001896.SZ,豫能控股,39,193.2,002350.SZ,北京科锐,205,94.93,002350.SZ,北京科锐,205,94.93
885770.TI,智能物流,11,216.82,301005.SZ,超捷股份,20,243.66,000981.SZ,山子高科,259,83.95,000338.SZ,潍柴动力,244,86.69
885741.TI,中字头股票,11,233.64,000657.SZ,中钨高新,21,236.83,601600.SH,中国铝业,248,85.94,601611.SH,中国核建,214,92.73
886007.TI,TOPCON电池,11,240.73,603778.SH,国晟科技,6,341.9,000833.SZ,粤桂股份,245,86.56,002865.SZ,钧达股份,224,89.71
885757.TI,区块链,11,261.27,300427.SZ,红相股份,68,155.54,300520.SZ,科大国创,291,80.53,300448.SZ,浩云科技,252,85.59
885962.TI,土壤修复,10,137.5,001267.SZ,汇绿生态,56,166.22,300437.SZ,清水源,174,103.14,300948.SZ,冠中生态,251,85.63
885809.TI,柔性屏(折叠屏),10,193.8,603929.SH,亚翔集成,22,234.96,300606.SZ,金太阳,243,87.28,300606.SZ,金太阳,243,87.28
885410.TI,固废处理,10,201.9,688679.SH,通源环境,67,155.84,003035.SZ,南网能源,190,97.93,300055.SZ,万邦达,235,87.93
885890.TI,抖音概念(字节概念),10,206.2,300475.SZ,香农芯创,37,195.12,300044.SZ,ST赛为,237,87.8,300442.SZ,润泽科技,229,88.85
886058.TI,华为昇腾,10,208.0,688031.SH,星环科技,4,381.69,301248.SZ,杰创智能,261,83.83,688158.SH,优刻得,240,87.44
885999.TI,汽车热管理,10,232.3,301005.SZ,超捷股份,20,243.66,000988.SZ,华工科技,268,83.22,301626.SZ,苏州天脉,232,88.36
885925.TI,MCU芯片,10,234.8,688766.SH,普冉股份,23,234.49,688172.SH,燕东微,283,81.48,688372.SH,伟测科技,211,93.66
885497.TI,旅游概念,10,237.6,000592.SZ,平潭发展,16,258.64,603843.SH,*ST正平,290,80.67,000792.SZ,盐湖股份,254,85.22
885797.TI,百度概念,10,244.7,300058.SZ,蓝色光标,71,152.94,000988.SZ,华工科技,268,83.22,300448.SZ,浩云科技,252,85.59
885863.TI,磷化工,10,257.7,002667.SZ,威领股份,129,123.82,688275.SH,万润新能,246,86.29,600078.SH,澄星股份,227,89.17
886093.TI,华为数字能源,9,148.33,300814.SZ,中富电路,62,161.28,002506.SZ,协鑫集成,146,114.87,301248.SZ,杰创智能,261,83.83
885835.TI,参股银行,9,195.67,001203.SZ,大中矿业,30,210.75,600869.SH,远东股份,225,89.44,600869.SH,远东股份,225,89.44
