股票代码,股票简称,最新价,最新涨跌幅,股票市场类型,区间涨跌幅:前复权[20250910-20260309],区间涨跌幅:前复权排名[20250910-20260309],market_code,code
002270.SZ,华明装备,37.7,2.864938608458402,a股,96.514745308311,199/5493,33,002270
301373.SZ,凌玮科技,76.2,11.387224090045326,a股,96.07337345944396,200/5493,33,301373
002440.SZ,闰土股份,13.95,0.21551724137930575,a股,95.50561797752809,201/5493,33,002440
300480.SZ,光力科技,33.46,2.638036809815949,a股,95.44364508393286,202/5493,33,300480
300390.SZ,天华新能,47.77,4.850746268656718,a股,95.20137103684662,203/5493,33,300390
601872.SH,招商轮船,16.47,4.7709923664122025,a股,95.03722084367246,204/5493,17,601872
002350.SZ,北京科锐,15.22,9.97109826589596,a股,94.92957746478874,205/5493,33,002350
600391.SH,航发科技,49.22,0.42848398286064243,a股,94.48412698412699,206/5493,17,600391
301045.SZ,天禄科技,52.62,10.989242775785703,a股,94.46267432321575,207/5493,33,301045
688239.SH,航宇科技,73.42,-0.09525105456523769,a股,94.10987849973586,208/5493,17,688239
002361.SZ,神剑股份,12.85,2.6357827476038347,a股,94.10852713178294,209/5493,33,002361
301148.SZ,嘉戎技术,56.3,4.394585573892078,a股,93.9230492628551,210/5493,33,301148
688372.SH,伟测科技,153.54,8.754781130471729,a股,93.66255144032921,211/5493,17,688372
000933.SZ,神火股份,34.71,-4.27468284611141,a股,93.59316604378002,212/5493,33,000933
688325.SH,赛微微电,113.79,2.4212421242124322,a股,93.08307264511643,213/5493,17,688325
601611.SH,中国核建,17.4,0.9866511897852476,a股,92.72930648769577,214/5493,17,601611
605196.SH,华通线缆,53.13,1.0460251046025186,a股,91.89781021897811,215/5493,17,605196
301550.SZ,斯菱智驱,152.3,5.0344827586206975,a股,90.78947368421053,216/5493,33,301550
002756.SZ,永兴材料,70.13,1.3439306358381395,a股,90.63360881542702,217/5493,33,002756
300816.SZ,艾可蓝,73.47,0.9480626545754297,a股,90.62336301728654,218/5493,33,300816
001208.SZ,华菱线缆,23.12,0.6530256856769793,a股,90.62240663900413,219/5493,33,001208
000973.SZ,佛塑科技,14.82,2.2068965517241397,a股,90.53876478318001,220/5493,33,000973
600403.SH,大有能源,6.83,-2.2889842632331923,a股,90.4632152588556,221/5493,17,600403
688011.SH,新光光电,69.66,1.9166057059253876,a股,90.12517385257298,222/5493,17,688011
002082.SZ,万邦德,19.57,4.876741693461952,a股,90.020366598778,223/5493,33,002082
002865.SZ,钧达股份,91.02,4.118050789293061,a股,89.71354166666667,224/5493,33,002865
600869.SH,远东股份,13.76,2.3048327137546507,a股,89.43661971830986,225/5493,17,600869
688485.SH,九州一轨,26.55,2.9069767441860463,a股,89.42731277533042,226/5493,17,688485
600078.SH,澄星股份,12.74,-1.393188854489162,a股,89.16544655929721,227/5493,17,600078
600301.SH,华锡有色,64.2,2.1642266072565235,a股,88.9356584485869,228/5493,17,600301
300442.SZ,润泽科技,95.51,-0.8718214841722773,a股,88.84566007781186,229/5493,33,300442
002703.SZ,浙江世宝,23.11,-0.9854327335047147,a股,88.68229587712207,230/5493,33,002703
300842.SZ,帝科股份,104.93,4.262718600953901,a股,88.53503184713375,231/5493,33,300842
301626.SZ,苏州天脉,254.1,0.8373348148736002,a股,88.36148901181045,232/5493,33,301626
300490.SZ,华自科技,19.03,-0.157397691500512,a股,88.15399802566631,233/5493,33,300490
600722.SH,金牛化工,12.73,-3.7792894935752077,a股,87.92613636363636,234/5493,17,600722
300055.SZ,万邦达,11.06,0.09049773755655915,a股,87.92517006802723,235/5493,33,300055
300257.SZ,开山股份,34.33,19.993009437259698,a股,87.85292186474064,236/5493,33,300257
300044.SZ,ST赛为,7.5,-4.458598726114645,a股,87.79904306220097,237/5493,33,300044
600026.SH,中远海能,23.26,2.3767605633802935,a股,87.7685950413223,238/5493,17,600026
300201.SZ,海伦哲,10.13,1.8090452261306684,a股,87.73584905660377,239/5493,33,300201
688158.SH,优刻得,51.59,13.684442485676511,a股,87.44320528707146,240/5493,17,688158
000703.SZ,恒逸石化,11.9,-5.330151153540175,a股,87.33233979135619,241/5493,33,000703
600230.SH,沧州大化,23.51,-2.245322245322242,a股,87.30529595015577,242/5493,17,600230
300606.SZ,金太阳,37.66,1.1006711409395882,a股,87.28004022121668,243/5493,33,300606
000338.SZ,潍柴动力,27.82,4.351087771942987,a股,86.69467787114847,244/5493,33,000338
000833.SZ,粤桂股份,25.02,-6.15153788447112,a股,86.56403079076279,245/5493,33,000833
688275.SH,万润新能,97.76,1.012605910312052,a股,86.29451395572664,246/5493,17,688275
301137.SZ,哈焊华通,62.0,4.818258664412513,a股,86.24055415617127,247/5493,33,301137
601600.SH,中国铝业,13.7,-2.282453637660487,a股,85.9416445623342,248/5493,17,601600
002379.SZ,宏桥控股,30.05,-1.7010140660778528,a股,85.83586626139818,249/5493,33,002379
688625.SH,呈和科技,62.78,2.783235101506226,a股,85.76642335766421,250/5493,17,688625
300948.SZ,冠中生态,21.34,0.7554296506137873,a股,85.62664329535494,251/5493,33,300948
300448.SZ,浩云科技,11.19,-2.3560209424083887,a股,85.58704453441297,252/5493,33,300448
688530.SH,欧莱新材,34.74,6.336088154269973,a股,85.51959114139694,253/5493,17,688530
000792.SZ,盐湖股份,38.53,0.4431699687174184,a股,85.22452921294061,254/5493,33,000792
603813.SH,*ST原尚,35.87,-3.1848852901484475,a股,84.97254118821765,255/5493,22,603813
301306.SZ,西测测试,103.5,4.051472805871118,a股,84.81976960237829,256/5493,33,301306
001400.SZ,江顺科技,146.04,10.003012955709552,a股,84.74812134706372,257/5493,33,001400
603186.SH,华正新材,70.8,7.500759186152441,a股,84.4301316157939,258/5493,17,603186
000981.SZ,山子高科,4.55,1.7897091722595095,a股,83.95061728395059,259/5493,33,000981
002455.SZ,百川股份,13.39,2.8417818740399463,a股,83.89830508474574,260/5493,33,002455
301248.SZ,杰创智能,51.0,2.4096385542168735,a股,83.83167220376522,261/5493,33,301248
000506.SZ,招金黄金,20.12,-0.740009866798217,a股,83.77153218495015,262/5493,33,000506
600201.SH,生物股份,15.18,1.9476158495634597,a股,83.6004932182491,263/5493,17,600201
688516.SH,奥特维,80.05,2.365728900255747,a股,83.56807511737088,264/5493,17,688516
300017.SZ,网宿科技,20.39,1.797304043934096,a股,83.42490842490844,265/5493,33,300017
603097.SH,江苏华辰,41.55,1.6886930983847228,a股,83.3931777378815,266/5493,17,603097
300394.SZ,天孚通信,340.48,10.919989575188962,a股,83.33631965597561,267/5493,33,300394
000988.SZ,华工科技,123.51,4.139966273187193,a股,83.22261702456355,268/5493,33,000988
603938.SH,三孚股份,27.38,3.359758399396001,a股,83.19502074688795,269/5493,17,603938
600362.SH,江西铜业,52.44,1.2941858219045674,a股,83.19179051663129,270/5493,17,600362
600871.SH,石化油服,3.45,-7.999999999999996,a股,82.9268292682927,271/5493,17,600871
688390.SH,固德威,97.19,-3.7722772277227747,a股,82.80542986425338,272/5493,17,688390
300189.SZ,神农种业,8.27,-1.194743130226997,a股,82.75109170305674,273/5493,33,300189
301218.SZ,华是科技,39.12,0.7987632053594309,a股,82.72128060263655,274/5493,33,301218
600151.SH,航天机电,14.66,1.5939015939015968,a股,82.65822784810125,275/5493,17,600151
300959.SZ,线上线下,83.47,2.0914872798434363,a股,82.45927248382058,276/5493,33,300959
600577.SH,精达股份,15.18,1.9476158495634597,a股,82.25214198286415,277/5493,17,600577
000960.SZ,锡业股份,39.88,2.6248069994853402,a股,82.18471636193156,278/5493,33,000960
688127.SH,蓝特光学,64.93,13.653071941186774,a股,82.1747448979592,279/5493,17,688127
000807.SZ,云铝股份,32.76,-2.50000000000001,a股,81.81818181818183,280/5493,33,000807
688702.SH,盛科通信,206.9,7.743581732021041,a股,81.79494461800626,281/5493,17,688702
002738.SZ,中矿资源,80.13,1.4303797468354373,a股,81.56745575729718,282/5493,33,002738
688172.SH,燕东微,39.1,0.48830634798253625,a股,81.48320895522386,283/5493,17,688172
300739.SZ,明阳电路,30.3,1.2024048096192366,a股,81.45454545454545,284/5493,33,300739
688282.SH,理工导航,79.93,0.28858218318695605,a股,81.30118289353958,285/5493,17,688282
002358.SZ,森源电气,9.12,-2.8753993610223785,a股,81.2741312741313,286/5493,33,002358
002342.SZ,巨力索具,14.46,1.9746121297602337,a股,81.09833971902937,287/5493,33,002342
301285.SZ,鸿日达,85.34,0.6012024048096253,a股,80.9513651877133,288/5493,33,301285
301526.SZ,国际复材,12.99,3.8369304556354953,a股,80.78034682080924,289/5493,33,301526
603843.SH,*ST正平,5.79,-1.697792869269943,a股,80.67484662576688,290/5493,22,603843
300520.SZ,科大国创,43.8,2.6722925457102686,a股,80.53322048243757,291/5493,33,300520
002300.SZ,太阳电缆,11.77,1.7286084701814977,a股,80.49921996879876,292/5493,33,002300
002519.SZ,银河电子,9.01,0.44593088071347986,a股,80.48289738430586,293/5493,33,002519
301486.SZ,致尚科技,189.14,5.066103766248181,a股,80.3807615230461,294/5493,33,301486
688175.SH,高凌信息,37.79,4.855715871254162,a股,80.29014507253628,295/5493,17,688175
300393.SZ,中来股份,11.77,1.203783319002569,a股,80.03095975232199,296/5493,33,300393
300626.SZ,华瑞股份,20.3,3.5714285714285676,a股,79.98163452708907,297/5493,33,300626
300846.SZ,首都在线,37.8,0.5051847912789091,a股,79.6942188246536,298/5493,33,300846
300215.SZ,电科院,10.81,-1.5482695810564655,a股,79.11908646003263,299/5493,33,300215
000620.SZ,盈新发展,2.95,-1.3377926421404693,a股,79.0419161676647,300/5493,33,000620
601208.SH,东材科技,31.39,5.5126050420168085,a股,79.0012033694344,301/5493,17,601208
002290.SZ,禾盛新材,67.21,9.999999999999988,a股,78.864168618267,302/5493,33,002290
688691.SH,灿芯股份,121.4,1.1245314452311608,a股,78.67242149129335,303/5493,17,688691
301265.SZ,华新环保,20.94,2.949852507374638,a股,78.57769973661105,304/5493,33,301265
002150.SZ,正泰电源,26.98,-3.677258122099254,a股,78.40764331210192,305/5493,33,002150
300062.SZ,中能电气,9.64,-1.7329255861365944,a股,78.36363636363637,306/5493,33,300062
002532.SZ,天山铝业,17.69,-3.3861277990169167,a股,78.11284046692607,307/5493,33,002532
000751.SZ,锌业股份,6.51,-0.45871559633027903,a股,77.71739130434781,308/5493,33,000751
688059.SH,华锐精密,139.08,8.208200420135386,a股,77.40510697032435,309/5493,17,688059
002571.SZ,德力股份,13.4,2.9185867895545377,a股,77.14285714285715,310/5493,33,002571
000608.SZ,*ST阳光,3.46,3.9039039039039007,a股,77.1276595744681,311/5493,33,000608
301629.SZ,矽电股份,277.62,3.7288895531310784,a股,77.04571012767084,312/5493,33,301629
688519.SH,南亚新材,115.35,5.583524027459949,a股,77.03775725166099,313/5493,17,688519
300137.SZ,先河环保,13.24,3.76175548589342,a股,76.97642163661581,314/5493,33,300137
300912.SZ,凯龙高科,28.88,2.959001782531188,a股,76.74858223062382,315/5493,33,300912
600783.SH,鲁信创投,22.56,0.8944543828264727,a股,76.61927330173775,316/5493,17,600783
600108.SH,亚盛集团,5.97,9.94475138121547,a股,76.29870129870129,317/5493,17,600108
301317.SZ,鑫磊股份,64.82,9.493243243243228,a股,76.29541393686719,318/5493,33,301317
688568.SH,中科星图,74.11,1.1602511602511525,a股,76.2752646775746,319/5493,17,688568
603306.SH,华懋科技,87.6,6.738150359449253,a股,76.26718213058416,320/5493,17,603306
002429.SZ,兆驰股份,10.03,3.295571575695144,a股,76.22504537205084,321/5493,33,002429
300516.SZ,久之洋,66.02,2.595182595182598,a股,76.10837438423644,322/5493,33,300516
603286.SH,日盈电子,63.32,2.8255927249106887,a股,75.94285714285714,323/5493,17,603286
600714.SH,金瑞矿业,21.15,-3.950953678474119,a股,75.73822825219474,324/5493,17,600714
300129.SZ,泰胜风能,14.07,2.7757487216946735,a股,75.73812580231065,325/5493,33,300129
603986.SH,兆易创新,285.44,3.386576840885227,a股,75.68565065224305,326/5493,17,603986
603052.SH,可川科技,60.99,5.155172413793108,a股,75.65112053301029,327/5493,17,603052
603667.SH,五洲新春,76.48,6.148507980569059,a股,75.60321715817693,328/5493,17,603667
301117.SZ,佳缘科技,58.41,2.74406332453825,a股,75.57134033353921,329/5493,33,301117
603316.SH,诚邦股份,16.13,0.9386733416770875,a股,75.41163556531286,330/5493,17,603316
605100.SH,华丰股份,42.23,-1.1701380762930027,a股,75.19475194751945,331/5493,17,605100
603191.SH,望变电气,26.6,-0.4118307749906381,a股,74.80366492146598,332/5493,17,603191
688307.SH,中润光学,58.4,5.873821609862223,a股,74.77820025348542,333/5493,17,688307
688510.SH,航亚科技,41.2,4.06668350593584,a股,74.63608292898103,334/5493,17,688510
000893.SZ,亚钾国际,64.19,-2.7424242424242458,a股,74.28043306047005,335/5493,33,000893
688312.SH,燕麦科技,53.39,5.036395829234708,a股,74.19465387251542,336/5493,17,688312
000007.SZ,全新好,14.09,6.500377928949353,a股,74.07894736842107,337/5493,33,000007
002788.SZ,鹭燕医药,15.09,1.8906144496961468,a股,73.82629107981222,338/5493,33,002788
605117.SH,德业股份,119.89,-3.702811244979919,a股,73.47080953044448,339/5493,17,605117
688607.SH,康众医疗,56.2,7.333842627960282,a股,73.43491222259026,340/5493,17,688607
600683.SH,京投发展,7.3,1.955307262569828,a股,73.36561743341406,341/5493,17,600683
600295.SH,鄂尔多斯,16.78,-2.893518518518518,a股,73.31995987963892,342/5493,17,600295
688330.SH,宏力达,53.98,-1.8009823540112826,a股,73.24298770879294,343/5493,17,688330
601698.SH,中国卫通,38.29,0.235602094240828,a股,73.24263038548754,344/5493,17,601698
600590.SH,泰豪科技,16.85,-0.8240141259564274,a股,73.190621814475,345/5493,17,600590
300506.SZ,ST名家汇,5.32,1.7208413001912017,a股,73.17880794701989,346/5493,33,300506
300620.SZ,光库科技,163.05,7.908669755129066,a股,73.08132875143184,347/5493,33,300620
300018.SZ,中元股份,14.47,1.6151685393258457,a股,73.02551640340218,348/5493,33,300018
605056.SH,咸亨国际,24.0,1.308569016462637,a股,72.667638483965,349/5493,17,605056
000969.SZ,安泰科技,24.03,1.1789473684210574,a股,72.60174418604652,350/5493,33,000969
300141.SZ,和顺电气,16.04,0.06238303181533381,a股,72.55113024757807,351/5493,33,300141
600989.SH,宝丰能源,28.95,-5.515665796344651,a股,72.52252252252251,352/5493,17,600989
300209.SZ,行云科技,9.22,4.180790960451989,a股,72.51461988304094,353/5493,33,300209
688479.SH,友车科技,34.57,3.1940298507462694,a股,72.5025746652935,354/5493,17,688479
300483.SZ,首华燃气,19.59,-5.907780979827091,a股,72.06611570247935,355/5493,33,300483
300157.SZ,新锦动力,7.92,-3.0599755201958385,a股,72.0,356/5493,33,300157
300812.SZ,易天股份,41.51,4.585537918871253,a股,71.8181818181818,357/5493,33,300812
603389.SH,*ST亚振,42.45,0.0,a股,71.7927964386888,358/5493,22,603389
300593.SZ,新雷能,29.9,2.7491408934707806,a股,71.78276269185359,359/5493,33,300593
301580.SZ,爱迪特,86.03,8.62373737373737,a股,71.61430119176599,360/5493,33,301580
600938.SH,中国海油,40.98,-5.488929889298899,a股,71.51898734177215,361/5493,17,600938
600482.SH,中国动力,37.54,-0.3186404673393453,a股,71.49362477231328,362/5493,17,600482
688231.SH,隆达股份,36.18,5.113306217315508,a股,71.41434262948209,363/5493,17,688231
600522.SH,中天科技,28.9,6.249999999999998,a股,71.28463476070527,364/5493,17,600522
300505.SZ,川金诺,34.22,-2.562642369020497,a股,71.15009746588693,365/5493,33,300505
600176.SH,中国巨石,26.86,3.3076923076923057,a股,71.05263157894738,366/5493,17,600176
002497.SZ,雅化集团,24.77,2.6523000414421904,a股,71.01346562721474,367/5493,33,002497
002451.SZ,摩恩电气,11.41,-1.3828867761452044,a股,70.90103397341213,368/5493,33,002451
600191.SH,华资实业,13.43,0.0,a股,70.8651399491094,369/5493,17,600191
001376.SZ,百通能源,20.61,-0.9610764055742398,a股,70.85385878489326,370/5493,33,001376
688545.SH,兴福电子,52.6,1.1538461538461566,a股,70.54772056411939,371/5493,17,688545
002207.SZ,准油股份,11.8,-9.992372234935155,a股,70.48114434330297,372/5493,33,002207
688347.SH,华虹公司,118.46,3.2691134164414613,a股,70.44576523031203,373/5493,17,688347
603663.SH,三祥新材,52.32,2.729236206558022,a股,70.27749916415914,374/5493,17,603663
688717.SH,艾罗能源,119.44,-6.753064251698029,a股,69.9708067940552,375/5493,17,688717
603045.SH,福达合金,34.98,4.919016196760627,a股,69.92864424057086,376/5493,17,603045
000630.SZ,铜陵有色,7.32,0.5494505494505499,a股,69.6969696969697,377/5493,33,000630
300672.SZ,国科微,143.96,2.916785816414078,a股,69.24379915305504,378/5493,33,300672
001389.SZ,广合科技,120.23,10.000000000000007,a股,69.16885930970437,379/5493,33,001389
688375.SH,国博电子,116.58,0.49999999999999856,a股,69.12086309957719,380/5493,17,688375
600629.SH,华建集团,22.13,2.9781293624941862,a股,69.07946498819825,381/5493,17,600629
601619.SH,嘉泽新能,6.64,-1.7751479289940846,a股,69.0,382/5493,17,601619
603232.SH,格尔软件,26.0,1.9607843137254901,a股,68.87417218543047,383/5493,17,603232
603993.SH,洛阳钼业,21.74,2.354048964218456,a股,68.83942766295706,384/5493,17,603993
000691.SZ,*ST亚太,8.6,2.3809523809523725,a股,68.67469879518072,385/5493,33,000691
300421.SZ,力星股份,26.67,3.4924330616996593,a股,68.541530412034,386/5493,33,300421
000612.SZ,焦作万方,14.35,-1.306740027510313,a股,68.48203939745073,387/5493,33,000612
600410.SH,华胜天成,31.83,4.326450344149448,a股,68.4704583103258,388/5493,17,600410
002851.SZ,麦格米特,129.27,7.109122545364166,a股,68.42031816913202,389/5493,33,002851
300970.SZ,华绿生物,25.56,4.7970479704796976,a股,68.32298136645963,390/5493,33,300970
300118.SZ,东方日升,20.15,6.332453825857517,a股,68.1455190771961,391/5493,33,300118
301396.SZ,宏景科技,116.26,1.7236853617989314,a股,68.12297734627832,392/5493,33,301396
002218.SZ,拓日新能,6.67,3.571428571428564,a股,67.70833333333334,393/5493,33,002218
603391.SH,力聚热能,73.08,1.9246861924686127,a股,67.56251460621641,394/5493,17,603391
688110.SH,东芯股份,151.8,1.8860326196389035,a股,67.47976618705039,395/5493,17,688110
000949.SZ,新乡化纤,7.59,9.999999999999991,a股,67.47572815533981,396/5493,33,000949
001326.SZ,联域股份,63.8,2.2927689594356258,a股,67.25663716814158,397/5493,33,001326
600595.SH,中孚实业,8.21,-4.645760743321703,a股,67.18446601941746,398/5493,17,600595
002448.SZ,中原内配,17.52,1.2131715771230553,a股,67.08494208494209,399/5493,33,002448
301235.SZ,华康洁净,54.13,2.4219489120151394,a股,66.87717082412378,400/5493,33,301235
